TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4
1709623778	28.50	20.16	4.45	4.43	4.61	4.41
1709623779	28.53	20.17	4.45	4.43	4.61	4.41
1709623780	28.44	20.17	4.45	4.43	4.61	4.41
1709623781	28.52	20.16	4.45	4.43	4.61	4.41
1709623782	28.53	20.16	4.45	4.43	4.61	4.41
1709623783	28.43	20.16	4.45	4.43	4.61	4.41
1709623784	28.48	20.16	4.45	4.43	4.61	4.41
1709623785	28.52	20.18	4.45	4.43	4.61	4.41
1709623786	28.32	20.16	4.45	4.43	4.61	4.41
1709623787	28.40	20.16	4.45	4.43	4.61	4.41
1709623788	28.44	20.18	4.45	4.43	4.61	4.41
1709623789	28.49	20.17	4.45	4.43	4.61	4.41
1709623790	28.50	20.14	4.45	4.43	4.61	4.41
1709623791	28.48	20.17	4.45	4.43	4.61	4.41
1709623792	28.55	20.16	4.45	4.43	4.61	4.41
1709623793	28.51	20.17	4.45	4.43	4.61	4.41
1709623794	28.54	20.17	4.45	4.43	4.61	4.41
1709623795	28.59	20.18	4.45	4.43	4.61	4.41
1709623796	28.48	20.18	4.45	4.43	4.61	4.41
1709623797	28.49	20.17	4.45	4.43	4.61	4.41
1709623798	28.44	20.18	4.45	4.43	4.61	4.41
1709623799	28.49	20.18	4.45	4.43	4.61	4.41
1709623800	28.40	20.17	4.45	4.43	4.61	4.41
1709623801	28.52	20.17	4.45	4.43	4.61	4.41
1709623802	28.61	20.17	4.45	4.43	4.61	4.41
1709623803	28.41	20.16	4.45	4.43	4.61	4.41
1709623804	28.61	20.17	4.45	4.43	4.61	4.41
1709623805	28.62	20.16	4.45	4.43	4.61	4.41
1709623806	28.46	20.16	4.45	4.43	4.61	4.41
1709623807	28.49	20.16	4.45	4.43	4.61	4.41
1709623808	28.50	20.17	4.45	4.43	4.61	4.41
1709623809	28.63	20.16	4.45	4.43	4.61	4.41
1709623810	28.37	20.16	4.45	4.43	4.61	4.41
1709623811	28.45	20.16	4.45	4.43	4.61	4.41
1709623812	28.51	20.16	4.45	4.43	4.61	4.41
1709623813	28.35	20.16	4.45	4.43	4.61	4.41
1709623814	28.41	20.16	4.45	4.43	4.61	4.41
1709623815	28.56	20.17	4.45	4.43	4.61	4.41
1709623816	28.53	20.15	4.45	4.43	4.61	4.41
1709623817	28.45	20.15	4.45	4.43	4.61	4.41
1709623818	28.50	20.17	4.45	4.43	4.61	4.41
1709623819	28.50	20.16	4.45	4.43	4.61	4.41
1709623820	28.45	20.15	4.45	4.43	4.61	4.41
1709623821	28.35	20.15	4.45	4.43	4.61	4.41
1709623822	28.54	20.17	4.45	4.43	4.61	4.41
1709623823	28.53	20.16	4.45	4.43	4.61	4.41
1709623824	28.44	20.15	4.45	4.43	4.61	4.41
1709623825	28.54	20.16	4.45	4.43	4.61	4.41
1709623826	28.44	20.15	4.45	4.43	4.61	4.41
1709623827	28.47	20.15	4.45	4.43	4.61	4.41
1709623828	28.40	20.15	4.45	4.43	4.61	4.41
1709623829	28.47	20.17	4.45	4.43	4.61	4.41
1709623830	28.51	20.16	4.45	4.43	4.61	4.41
