TIMESTAMP	HEAD He3	PUMP He3	SWITCH He3	HEAD He4	PUMP He4	SWITCH He4	Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1729604480	297.514	290.227	290.432	300.000	290.506	290.228	295.147	0	0	0	0
1729604481	293.585	290.227	290.432	300.000	290.507	290.228	294.924	0	0	0	0
1729604482	293.074	290.227	290.432	300.000	290.507	290.228	294.867	0	0	0	0
1729604483	286.837	290.227	290.432	300.000	290.508	290.228	294.612	0	0	0	0
1729604484	292.098	290.227	290.432	300.000	290.508	290.228	294.444	0	0	0	0
1729604485	289.800	290.227	290.432	300.000	290.509	290.228	294.420	0	0	0	0
1729604486	294.051	290.227	290.432	300.000	290.509	290.228	294.259	0	0	0	0
1729604487	293.962	290.227	290.433	300.000	290.510	290.228	293.997	0	0	0	0
1729604488	293.407	290.227	290.433	300.000	290.511	290.229	293.806	0	0	0	0
1729604489	298.113	290.227	290.433	300.000	290.511	290.229	293.802	0	0	0	0
1729604490	292.497	290.227	290.433	300.000	290.511	290.229	293.665	0	0	0	0
1729604491	291.410	290.227	290.433	300.000	290.511	290.229	293.424	0	0	0	0
1729604492	291.077	290.227	290.433	300.000	290.512	290.229	293.291	0	0	0	0
1729604493	294.029	290.227	290.433	300.000	290.512	290.229	293.256	0	0	0	0
1729604494	293.652	290.227	290.433	300.000	290.512	290.229	293.167	0	0	0	0
1729604495	291.787	290.227	290.433	300.000	290.512	290.230	292.988	0	0	0	0
1729604496	292.608	290.227	290.433	300.000	290.512	290.230	292.814	0	0	0	0
1729604497	290.433	290.227	290.433	300.000	290.513	290.230	292.636	0	0	0	0
1729604498	293.208	290.227	290.433	300.000	290.513	290.230	292.799	0	0	0	0
1729604499	295.916	290.228	290.433	300.000	290.513	290.230	292.399	0	0	0	0
1729604500	287.636	290.228	290.433	300.000	290.513	290.230	292.233	0	0	0	0
1729604501	293.785	290.227	290.433	300.000	290.513	290.230	292.238	0	0	0	0
1729604502	292.009	290.228	290.433	300.000	290.513	290.230	291.983	0	0	0	0
1729604503	289.811	290.228	290.433	300.000	290.513	290.230	292.012	0	0	0	0
1729604504	300.000	290.228	290.433	300.000	290.513	290.230	291.880	0	0	0	0
1729604505	294.495	290.228	290.433	300.000	290.513	290.230	291.717	0	0	0	0
1729604506	297.492	290.228	290.433	300.000	290.513	290.230	291.609	0	0	0	0
1729604507	294.229	290.228	290.433	300.000	290.513	290.231	291.421	0	0	0	0
1729604508	293.341	290.228	290.433	300.000	290.513	290.230	291.448	0	0	0	0
1729604509	291.987	290.227	290.433	300.000	290.513	290.230	291.318	0	0	0	0
1729604510	297.270	290.227	290.434	300.000	290.513	290.230	291.171	0	0	0	0
1729604511	296.537	290.227	290.434	300.000	290.513	290.230	291.106	0	0	0	0
1729604512	290.211	290.227	290.433	300.000	290.513	290.230	291.048	0	0	0	0
1729604513	292.919	290.227	290.433	300.000	290.513	290.230	290.852	0	0	0	0
1729604514	294.517	290.227	290.433	300.000	290.513	290.230	290.877	0	0	0	0
1729604515	294.362	290.227	290.434	300.000	290.513	290.230	290.723	0	0	0	0
1729604516	292.098	290.226	290.434	300.000	290.513	290.230	290.565	0	0	0	0
1729604517	294.273	290.226	290.433	300.000	290.513	290.230	290.425	0	0	0	0
1729604518	286.737	290.226	290.433	300.000	290.513	290.230	290.323	0	0	0	0
1729604519	292.075	290.226	290.433	300.000	290.512	290.230	290.264	0	0	0	0
1729604520	296.981	290.226	290.433	300.000	290.512	290.230	290.243	0	0	0	0
1729604521	290.655	290.226	290.433	300.000	290.512	290.231	290.069	0	0	0	0
1729604522	293.141	290.226	290.433	300.000	290.512	290.230	289.937	0	0	0	0
1729604523	300.000	290.226	290.433	300.000	290.512	290.230	289.928	0	0	0	0
1729604524	292.986	290.226	290.433	300.000	290.512	290.230	289.763	0	0	0	0
1729604525	292.586	290.226	290.433	300.000	290.511	290.230	289.613	0	0	0	0
1729604526	294.229	290.226	290.433	300.000	290.511	290.230	289.524	0	0	0	0
1729604527	298.402	290.226	290.433	300.000	290.511	290.230	289.361	0	0	0	0
1729604528	293.829	290.226	290.433	300.000	290.511	290.230	289.358	0	0	0	0
1729604529	295.583	290.226	290.433	300.000	290.510	290.230	289.251	0	0	0	0
1729604530	300.000	290.225	290.433	300.000	290.510	290.230	289.146	0	0	0	0
1729604531	295.072	290.225	290.434	300.000	290.510	290.230	289.112	0	0	0	0
1729604532	291.232	290.225	290.434	300.000	290.510	290.230	289.113	0	0	0	0
1729604533	294.295	290.225	290.433	300.000	290.510	290.230	288.844	0	0	0	0
1729604534	295.583	290.226	290.434	300.000	290.510	290.230	288.816	0	0	0	0
1729604535	294.961	290.226	290.434	300.000	290.509	290.230	288.719	0	0	0	0
1729604536	293.252	290.226	290.434	300.000	290.509	290.230	288.677	0	0	0	0
1729604537	296.160	290.226	290.433	300.000	290.509	290.231	288.519	0	0	0	0
1729604538	287.714	290.226	290.434	300.000	290.509	290.231	288.371	0	0	0	0
1729604539	293.585	290.226	290.434	300.000	290.509	290.231	288.428	0	0	0	0
1729604540	293.807	290.226	290.434	300.000	290.509	290.231	288.365	0	0	0	0
1729604541	292.564	290.226	290.434	300.000	290.509	290.231	288.216	0	0	0	0
1729604542	292.897	290.226	290.434	300.000	290.509	290.231	288.114	0	0	0	0
1729604543	295.982	290.226	290.434	300.000	290.509	290.231	288.011	0	0	0	0
1729604544	289.101	290.226	290.434	300.000	290.509	290.231	287.833	0	0	0	0
1729604545	292.519	290.226	290.434	300.000	290.509	290.231	287.793	0	0	0	0
1729604546	293.807	290.227	290.434	300.000	290.509	290.231	287.640	0	0	0	0
1729604547	288.557	290.227	290.434	300.000	290.509	290.232	287.654	0	0	0	0
1729604548	292.386	290.227	290.434	300.000	290.509	290.232	287.386	0	0	0	0
1729604549	291.010	290.227	290.434	300.000	290.508	290.232	287.329	0	0	0	0
